protein,log2FC,p_value,mean_tumor,mean_normal,q_value,significant
A1BG,-2.9454371728172815,1.8637984014531184e-55,-1.136021727272727,1.8094154455445546,4.7252234173118424e-54,True
A2M,-4.277722087308732,5.648730501280644e-57,-1.9354799090909092,2.342242178217822,1.5720927511727414e-55,True
AAAS,0.3556496768676868,1.2405857636003642e-07,0.27565918181818183,-0.07999049504950494,2.141137533778535e-07,False
AACS,2.5202146723672367,2.570021779131944e-35,0.5946964545454547,-1.9255182178217818,1.7662655078181094e-34,True
AADAC,-2.651231390639064,1.5040263732461252e-12,-2.028077727272727,0.6231536633663367,3.3545410651886708e-12,True
AAGAB,1.024479091809181,2.2815299670728832e-23,0.4597846363636364,-0.5646944554455445,8.628956048208298e-23,True
AAMDC,-1.2434398010801082,1.9632137446820387e-09,-0.38581445454545443,0.8576253465346537,3.736956810914206e-09,True
AAMP,0.8377063825382539,2.0751232695075837e-16,0.43472281818181824,-0.4029835643564357,5.55811636664405e-16,True
AAR2,0.3543823231323132,2.2303834204921218e-06,0.26849281818181814,-0.08588950495049505,3.6154253917503467e-06,False
AARS,1.7935194068406841,2.230523350840762e-43,0.6965655454545453,-1.0969538613861387,2.4059407804662052e-42,True
AARS2,0.7594635832583259,6.551844703537632e-11,0.3335364545454545,-0.42592712871287136,1.3523007468101672e-10,True
AARSD1,1.0892055814581458,2.9144510557434726e-27,0.48408736363636373,-0.6051182178217821,1.3330785710650307e-26,True
AASDHPPT,0.9097482277227724,3.743154796683799e-21,0.47133100000000006,-0.4384172277227723,1.2515641222116828e-20,True
AASS,-0.33289724482448246,0.13018555243649577,-0.38502536363636364,-0.052128118811881174,0.14828198109519014,False
AATF,1.88261000090009,1.525894099703108e-36,0.5713155454545454,-1.3112944554455446,1.1239340336239096e-35,True
ABAT,0.7172349063906389,0.00782381688808449,-0.17184172727272734,-0.8890766336633663,0.009971449401021968,True
ABCA1,-0.5941656606660666,3.708438525626715e-06,-0.17503536363636363,0.4191302970297029,5.9248124126581795e-06,True
ABCA12,-1.5887717596759676,1.2312957686375246e-19,-0.4182113636363636,1.170560396039604,3.8286480154442377e-19,True
ABCA13,-0.72874000630063,0.0006549523761988808,-0.2213988181818182,0.5073411881188118,0.0009059810727712675,True
ABCA2,0.4279477470747075,0.002313299863395015,0.3361897272727273,-0.09175801980198023,0.0030704616929878776,False
ABCA3,-4.21460297839784,2.83141449191257e-50,-2.0877499090909093,2.126853069306931,4.88764606506282e-49,True
ABCA6,-3.0257745139513954,7.604267784726801e-49,-1.0778404545454547,1.9479340594059407,1.1670472712701293e-47,True
ABCA8,-5.005934463546355,1.0157953004452451e-78,-2.526929909090909,2.4790045544554458,2.424195484512577e-76,True
ABCB1,-1.8719569837983796,4.383216500318429e-20,-0.7433771818181817,1.1285798019801978,1.3924187924139676e-19,True
ABCB10,-0.14553972007200722,0.2222780569454758,-0.10121536363636363,0.04432435643564357,0.2467860353107132,False
ABCB6,-0.20665339243924385,0.2344821740811945,-0.18035081818181814,0.02630257425742573,0.2595508851784651,False
ABCB7,0.662336895589559,2.4797214651833805e-06,0.24531372727272735,-0.41702316831683167,4.009387043807681e-06,True
ABCB8,0.24870265616561654,0.03908447581484862,0.10166463636363637,-0.14703801980198017,0.04698405819525814,False
ABCC1,0.4542256534653465,0.00015598723719723615,0.21055099999999996,-0.24367465346534656,0.00022578531710156424,False
ABCC10,-0.5118008613861387,0.005660482061372344,-0.11964699999999998,0.39215386138613867,0.007290199913364867,True
ABCC3,2.7028695508550857,5.175726449945842e-18,0.24940281818181817,-2.4534667326732675,1.4935757161784464e-17,True
ABCC4,-0.43032661476147616,0.06875098058473667,-0.7396335454545454,-0.30930693069306925,0.0806856233909388,False
ABCC4.1,-0.5566368217821781,0.002587963427492669,-0.36725899999999995,0.18937782178217819,0.0034217034458234098,True
ABCC5,0.3510966849684968,0.06424822936670561,0.1898360909090909,-0.1612605940594059,0.07562436467750577,False
ABCC6,-1.2796385589558956,1.6959577636342064e-10,-0.40004172727272735,0.8795968316831682,3.417693226019028e-10,True
ABCD1,0.5219626741674168,4.4116782961011606e-05,0.12883554545454545,-0.39312712871287137,6.596785873211416e-05,True
ABCD3,1.0134425301530152,3.436175984276847e-08,0.22952827272727272,-0.7839142574257426,6.132311823874888e-08,True
ABCD4,0.5069548523852385,0.004771976718942681,0.24384554545454543,-0.26310930693069307,0.006183424699202774,True
ABCE1,1.2262903699369936,9.146648758374277e-39,0.5471691818181817,-0.6791211881188118,7.645701317639304e-38,True
ABCF1,1.2757510180018001,2.6446135360564006e-46,0.5606219090909091,-0.7151291089108909,3.393209786988494e-45,True
ABCF2,1.3467774896489648,2.5891229137852695e-41,0.5327137272727273,-0.8140637623762377,2.4839967170848426e-40,True
ABCF3,0.9908382367236723,4.239887054166619e-29,0.43837645454545454,-0.5524617821782177,2.1246174183241233e-28,True
ABCG1,-0.3316004689468947,0.08907153005219486,-0.28438918181818185,0.04721128712871287,0.10331431663162235,False
ABHD10,0.16989252115211526,0.16711199830562107,0.15772281818181821,-0.01216970297029704,0.1878755312478458,False
ABHD11,1.2847100459045904,6.905540113098045e-11,0.07589281818181816,-1.2088172277227722,1.4225955650006828e-10,True
ABHD12,0.16456685058505852,0.13580897356266508,0.11606645454545454,-0.048500396039603974,0.15444751746833463,False
ABHD13,0.03876718361836179,0.7689758052981633,0.18631827272727267,0.14755108910891088,0.7877071614310835,False
ABHD14B,-1.6192739234923494,6.223154525206785e-32,-0.48324263636363635,1.136031287128713,3.624541372643317e-31,True
ABHD16A,0.1425594608460846,0.19078845813993678,0.1196382727272727,-0.02292118811881188,0.21318817996065043,False
ABHD17A,-0.9675798370837083,9.184378782052045e-19,-0.16163627272727268,0.8059435643564357,2.7458214799082e-18,True
ABHD17B,-0.720812393339334,2.835907412326276e-08,-0.10823536363636366,0.6125770297029703,5.07718907690672e-08,True
ABHD17C,-0.8402941755175517,1.4077191313814714e-05,-0.2955153636363636,0.544778811881188,2.1747996161462252e-05,True
ABHD4,-0.5997180369036904,1.3191711917756185e-05,-0.11924536363636364,0.48047267326732673,2.043525672936941e-05,True
ABHD5,-0.8553153636363635,1.2395012343507534e-10,-0.32265536363636355,0.53266,2.518041877657436e-10,True
ABHD6,-1.5064485895589559,1.5699078288246905e-33,-0.5244802727272727,0.9819683168316832,9.898507354002969e-33,True
ABI1,-0.7283950936093607,3.9579675984809075e-18,-0.032071727272727266,0.6963233663366335,1.1484121183920591e-17,True
ABI2,-2.2910963627362735,3.998474575540826e-45,-0.8798908181818182,1.4112055445544553,4.759281583305826e-44,True
ABI3,-1.1531178118811882,8.09350602141619e-22,-0.302439,0.8506788118811882,2.8176735404974094e-21,True
ABI3BP,-4.659386020702071,3.311377905948502e-58,-2.3108735454545455,2.348512475247525,1.0398162332297502e-56,True
ABI3BP.1,-2.8040401017101706,1.6136888351729188e-37,-1.132186636363636,1.6718534653465345,1.2605788560196958e-36,True
ABL2,0.4271340873087308,1.3811209677584788e-05,0.13241190909090908,-0.29472217821782176,2.1354358208977064e-05,False
ABLIM1,-4.0183523213321335,9.74627757246127e-68,-1.7928517272727271,2.2255005940594064,6.791092387351481e-66,True
ABLIM1.1,-2.826788726372638,3.942552445420324e-26,-0.989183181818182,1.837605544554456,1.7146061796802922e-25,True
ABLIM2,-3.5703901701170118,2.315107448912305e-52,-1.6522380909090912,1.9181520792079205,4.6041699390243464e-51,True
ABLIM3,-4.199244733573357,8.78557910701223e-79,-1.9088035454545456,2.2904411881188116,2.1504394398856093e-76,True
ABR,0.018339928892889282,0.8925814435956427,0.10010190909090907,0.08176198019801979,0.9021262531036534,False
ABRACL,0.660253808280828,0.0037950026883966283,0.3569128181818182,-0.3033409900990099,0.0049544715075812654,True
ABRAXAS1,0.3694921341134113,0.0008326013618436772,0.2266382727272727,-0.14285386138613865,0.0011417917828127771,False
ABT1,0.8544958154815481,3.5856307719161824e-11,0.4083191818181817,-0.44617663366336635,7.49637129844763e-11,True
ABTB2,-0.8812642385238524,1.8515949426375556e-05,-0.1559535454545455,0.7253106930693068,2.8344011100734615e-05,True
ACAA1,-0.42890391449144905,0.0028360741452864743,-0.07431718181818178,0.35458673267326724,0.0037399038252389394,False
ACAA2,-1.400454607560756,2.3657841658731506e-19,-0.42533718181818186,0.9751174257425742,7.282739647670138e-19,True
ACACA,0.4405927461746175,0.0002547283128247177,0.19890918181818185,-0.24168356435643568,0.0003637248764299106,False
ACAD10,1.039815599459946,2.9107251019908854e-10,0.2448082727272727,-0.7950073267326733,5.797158736408301e-10,True
ACAD10.1,2.3226531152115215,1.7377370873667511e-25,0.7268828181818182,-1.5957702970297032,7.298037059394196e-25,True
ACAD11,-1.067206609360936,1.8189855157264785e-09,-0.5125002727272727,0.5547063366336633,3.4686447728975153e-09,True
ACAD8,1.262355419441944,8.639060751697614e-09,0.23443918181818177,-1.0279162376237623,1.5920554813842746e-08,True
ACAD9,0.006997750675067499,0.9490871137055804,0.1351419090909091,0.1281441584158416,0.9538835109953118,False
ACADL,-4.094852753375338,6.438143440495748e-29,-2.393213545454546,1.701639207920792,3.189336651944598e-28,True
ACADM,0.6736351674167416,9.880100488474684e-06,0.30056645454545444,-0.3730687128712871,1.5426143157176862e-05,True
ACADS,-1.2116394590459048,3.899152453011573e-11,-0.5544071818181818,0.6572322772277228,8.142924812174245e-11,True
ACADSB,0.16632396129612964,0.4125595601253109,-0.12087445454545452,-0.2871984158415842,0.44200825599957555,False
ACADVL,-0.44525568766876694,0.0005088089994674154,0.02720827272727273,0.47246396039603966,0.0007107244233122545,False
ACAN,-0.14427561206120615,0.6028563445804662,-0.45956590909090916,-0.315290297029703,0.6297041979828352,False
ACAP1,-0.11399222232223222,0.4110591783135895,0.0010182727272727227,0.11501049504950495,0.4407965531545187,False
ACAP2,-0.7732112772277229,1.324471262606885e-20,-0.05527900000000001,0.7179322772277229,4.307803295688356e-20,True
ACAP3,-0.6422319954995499,1.338010441040119e-05,-0.2534842727272727,0.3887477227722772,2.0711282098538958e-05,True
ACAT1,-0.9739080819081909,3.5944664917139214e-10,-0.3101926363636364,0.6637154455445545,7.133633498939936e-10,True
ACAT2,-1.2334452466246624,1.4234563558002967e-28,-0.42976445454545453,0.8036807920792078,6.94699098797016e-28,True
ACBD3,1.846053331233123,1.2746211838083356e-68,0.7609737272727272,-1.085079603960396,9.973388377569157e-67,True
ACBD5,1.3140613510351038,2.9540806153926973e-16,0.4630837272727273,-0.8509776237623765,7.835413602261374e-16,True
ACBD6,0.5445975796579658,2.7069820163810543e-08,0.3110882727272728,-0.2335093069306931,4.852741845703952e-08,True
ACD,-0.605570598559856,1.23349100395889e-06,0.10222227272727272,0.7077928712871286,2.0235272596307893e-06,True
ACE,-4.168635282628263,8.095263041296764e-58,-2.053576272727273,2.1150590099009903,2.4848032473382288e-56,True
ACHE,-0.7154468433843384,4.391119323341339e-05,-0.2090020909090909,0.5064447524752476,6.569131023447174e-05,True
ACIN1,1.0929061935193518,3.429332487731426e-50,0.5680582727272726,-0.5248479207920792,5.866739772022257e-49,True
ACLY,0.009279712871287094,0.9246646325105394,0.14091099999999998,0.1316312871287129,0.931888574952028,False
ACLY.1,-0.18888006930693066,0.10565886173256782,-0.01352699999999999,0.17535306930693068,0.12152042097579427,False
ACO1,1.352840081908191,1.988786899047716e-20,0.5642446363636363,-0.7885954455445546,6.413837749428884e-20,True
ACO2,0.7186297488748874,3.8153206039547614e-10,0.5253828181818182,-0.19324693069306925,7.556234540529491e-10,True
ACOT1,-0.8998270648064806,1.6500090333657033e-05,-0.40364627272727277,0.49618079207920784,2.5327200888420973e-05,True
ACOT11,1.306788632763276,1.1182403312101709e-13,0.4329664545454545,-0.8738221782178216,2.6344329224413357e-13,True
ACOT13,0.649980801980198,0.00010436367170036649,0.299221,-0.350759801980198,0.0001526594560299875,True
ACOT2,-0.6120699342934293,0.004983611924395332,-0.2945451818181818,0.3175247524752475,0.006446281765620303,True
ACOT4,0.49051195229522954,0.010647967036047472,-0.018341909090909103,-0.5088538613861386,0.01343095842046897,False
ACOT7,1.016506796579658,4.0938547801139995e-11,0.3551737272727273,-0.6613330693069306,8.538330288610058e-11,True
ACOT8,0.3849815130513051,0.0018971230510941074,0.28030190909090913,-0.10467960396039602,0.0025328582721320767,False
ACOT9,-0.4298566777677768,4.532505871998498e-05,0.03350827272727275,0.46336495049504955,6.772155431851254e-05,False
